137.html 155 "2_Bed_1_Bath_in_Ellettsville" http://bloomington.craigslist.org/apa/5816115096.html
138.html 141 "4_Bed_Townhouse_in_Batchelor_Heights" http://bloomington.craigslist.org/apa/5822195836.html
139.html 146 "3_Bed_2.5_Bath_Townhouse" http://bloomington.craigslist.org/apa/5816212337.html
140.html 152 "4_Bed_Townhouse_in_Batchelor_Heights" http://bloomington.craigslist.org/apa/5816181528.html
141.html 204 "PRICE_REDUCED!_3_Bed_2.5_Bath" http://bloomington.craigslist.org/apa/5816165471.html
142.html 161 "1_Bed_1_Bath_AVAILABLE_NOW!!!" http://bloomington.craigslist.org/apa/5816101875.html
143.html 152 "3_Bed_Townhouse_Coming_Available" http://bloomington.craigslist.org/apa/5816128439.html
144.html 192 "3_bed,_2_bath" http://bloomington.craigslist.org/apa/5832889948.html
145.html 145 "4_bed,_1.5_bath" http://bloomington.craigslist.org/apa/5832942562.html
146.html 141 "3_bed,_2_bath" http://bloomington.craigslist.org/apa/5833045497.html
147.html 246 "2_BR_/_2_BA_Unit_Available_For_Rent_-_$400/Month!" http://bloomington.craigslist.org/apa/5830031570.html
148.html 144 "3_bed,_2_bath" http://bloomington.craigslist.org/apa/5833078392.html
149.html 143 "3_bed,_1.5_bath" http://bloomington.craigslist.org/apa/5833103369.html
150.html 157 "3_bed,_1.5_bath" http://bloomington.craigslist.org/apa/5833137114.html
151.html 136 "3_bed,_1_bath" http://bloomington.craigslist.org/apa/5833264735.html
152.html 148 "1_bed,_1_bath." http://bloomington.craigslist.org/apa/5833278104.html
153.html 150 "3_bed,_2.5_bath" http://bloomington.craigslist.org/apa/5833310902.html
154.html 201 "LARGE_1BR_W/FREE_WATER._CLOSE_TO_DOWNTOWN!" http://bloomington.craigslist.org/apa/5837440831.html
155.html 151 "***CLOSE_TO_DOWTOWN/ON_BUS_ROUTE/BEST_PRICES!!***" http://bloomington.craigslist.org/apa/5837432406.html
156.html 212 "LARGE_4BR/3BATH!_GREAT_LOCATION/LEASE_WITH_OPTION_TO_BUY!!!" http://bloomington.craigslist.org/apa/5837437088.html
157.html 275 "Three_Bedroom_Duplex,_$895/month._Available_now,_October_2016._3BR" http://bloomington.craigslist.org/apa/5837422518.html
